,State,PlayersPre2000,PlayersPost2000
0,AL,37.0,21.0
1,AR,1.0,0.0
2,AZ,16.0,18.0
3,CA,73.0,84.0
4,CO,3.0,0.0
5,FL,74.0,62.0
6,GA,18.0,23.0
7,HI,6.0,0.0
8,IA,3.0,0.0
9,ID,4.0,0.0
10,IL,4.0,2.0
11,IN,25.0,0.0
12,KS,12.0,0.0
13,LA,12.0,17.0
14,MA,8.0,8.0
15,ME,4.0,0.0
16,MI,110.0,12.0
17,MN,9.0,9.0
18,MS,16.0,19.0
19,NC,29.0,14.0
20,NE,7.0,0.0
21,NH,9.0,0.0
22,NJ,7.0,12.0
23,NY,66.0,9.0
24,OH,30.0,4.0
25,OK,31.0,9.0
26,PA,3.0,12.0
27,SC,29.0,5.0
28,TN,20.0,16.0
29,TX,43.0,63.0
30,VA,24.0,36.0
31,WA,2.0,9.0
32,WI,3.0,0.0
33,DE,0.0,1.0
34,KY,0.0,1.0
35,MD,0.0,9.0
36,NM,0.0,6.0
37,NV,0.0,17.0
38,OR,0.0,1.0
39,RI,0.0,2.0
40,WV,0.0,2.0
