,Year,Batting Average,Earned Run Average,Win Percentage,Fielding Percentage
0,1901,0.2713,4.12,0.3971,0.942
1,1902,0.2895,3.28,0.5074,0.95
2,1903,0.2650,2.73,0.5500,0.946
3,1904,0.2601,2.22,0.5695,0.959
4,1905,0.2551,2.85,0.4935,0.963
5,1906,0.2794,2.09,0.5817,0.967
6,1907,0.2409,2.26,0.5592,0.96
7,1908,0.2390,2.02,0.5844,0.962
8,1909,0.2409,2.4,0.4641,0.957
9,1910,0.2444,2.88,0.4671,0.964
10,1911,0.2821,3.36,0.5229,0.954
11,1912,0.2733,3.3,0.4902,0.954
12,1913,0.2681,2.54,0.5658,0.962
13,1914,0.2447,3.21,0.3333,0.954
14,1915,0.2404,3.13,0.3750,0.957
15,1916,0.2496,2.9,0.5000,0.965
16,1917,0.2451,2.52,0.5714,0.964
17,1918,0.2602,2.64,0.5748,0.962
18,1919,0.2778,2.94,0.6043,0.965
19,1920,0.3025,3.41,0.6364,0.971
20,1921,0.3076,3.9,0.6104,0.967
21,1922,0.2917,4.59,0.5065,0.968
22,1923,0.3013,3.91,0.5359,0.964
23,1924,0.2963,4.4,0.4379,0.968
24,1925,0.2967,4.49,0.4545,0.966
25,1926,0.2889,3.4,0.5714,0.972
26,1927,0.2828,4.27,0.4314,0.968
27,1928,0.2850,4.47,0.4026,0.965
28,1929,0.2940,4.05,0.5329,0.968
29,1930,0.3041,4.88,0.5260,0.962
30,1931,0.2961,4.63,0.5065,0.963
31,1932,0.2853,4.12,0.5724,0.969
32,1933,0.2607,3.71,0.4967,0.974
33,1934,0.2872,4.28,0.5519,0.972
34,1935,0.2842,4.15,0.5359,0.972
35,1936,0.3038,4.83,0.5195,0.97
36,1937,0.2800,4.39,0.5390,0.974
37,1938,0.2812,4.6,0.5658,0.974
38,1939,0.2803,4.08,0.5649,0.97
39,1940,0.2652,3.63,0.5779,0.975
40,1941,0.2555,3.9,0.4870,0.976
41,1942,0.2528,3.59,0.4870,0.974
42,1943,0.2551,3.15,0.5359,0.975
43,1944,0.2660,3.65,0.4675,0.974
44,1945,0.2550,3.31,0.5034,0.977
45,1946,0.2451,3.62,0.4416,0.975
46,1947,0.2594,3.44,0.5195,0.983
47,1948,0.2817,3.22,0.6258,0.982
48,1949,0.2601,3.36,0.5779,0.983
49,1950,0.2692,3.75,0.5974,0.978
50,1951,0.2564,3.38,0.6039,0.978
51,1952,0.2625,3.32,0.6039,0.975
52,1953,0.2698,3.64,0.5974,0.979
53,1954,0.2620,2.78,0.7208,0.979
54,1955,0.2575,3.39,0.6039,0.981
55,1956,0.2440,3.32,0.5714,0.978
56,1957,0.2522,4.06,0.4967,0.974
57,1958,0.2576,3.73,0.5033,0.974
58,1959,0.2629,3.75,0.5779,0.978
59,1960,0.2672,3.95,0.4935,0.978
60,1961,0.2662,4.15,0.4845,0.977
61,1962,0.2445,4.14,0.4938,0.977
62,1963,0.2391,3.79,0.4877,0.977
63,1964,0.2474,3.75,0.4877,0.981
64,1965,0.2500,3.3,0.5370,0.981
65,1966,0.2375,3.23,0.5000,0.977
66,1967,0.2348,3.25,0.4630,0.981
67,1968,0.2338,2.66,0.5342,0.979
68,1969,0.2371,3.94,0.3851,0.976
69,1970,0.2486,3.91,0.4691,0.979
70,1971,0.2383,4.28,0.3704,0.981
71,1972,0.2343,2.92,0.4615,0.982
72,1973,0.2555,4.58,0.4383,0.978
73,1974,0.2548,3.8,0.4753,0.977
74,1975,0.2607,3.84,0.4969,0.978
75,1976,0.2629,3.47,0.5094,0.98
76,1977,0.2688,4.1,0.4410,0.979
77,1978,0.2610,3.97,0.4340,0.98
78,1979,0.2582,4.57,0.5031,0.979
79,1980,0.2773,4.68,0.4938,0.983
80,1981,0.2629,3.88,0.5049,0.978
81,1982,0.2623,4.11,0.4815,0.98
82,1983,0.2650,4.43,0.4321,0.98
83,1984,0.2655,4.26,0.4630,0.977
84,1985,0.2651,4.91,0.3704,0.977
85,1986,0.2841,4.58,0.5185,0.975
86,1987,0.2633,5.28,0.3765,0.975
87,1988,0.2607,4.16,0.4815,0.98
88,1989,0.2453,3.65,0.4506,0.981
89,1990,0.2671,4.26,0.4753,0.981
90,1991,0.2541,4.23,0.3519,0.976
91,1992,0.2660,4.11,0.4691,0.978
92,1993,0.2753,4.58,0.4691,0.976
93,1994,0.2897,4.36,0.5841,0.98
94,1995,0.2906,3.83,0.6944,0.982
95,1996,0.2931,4.35,0.6149,0.98
96,1997,0.2860,4.73,0.5342,0.983
97,1998,0.2724,4.45,0.5494,0.982
98,1999,0.2891,4.9,0.5988,0.983
99,2000,0.2884,4.84,0.5556,0.988
100,2001,0.2784,4.64,0.5617,0.982
101,2002,0.2488,4.91,0.4568,0.981
102,2003,0.2536,4.21,0.4198,0.98
103,2004,0.2757,4.81,0.4938,0.983
104,2005,0.2713,3.61,0.5741,0.983
105,2006,0.2805,4.41,0.4815,0.981
106,2007,0.2684,4.05,0.5926,0.985
107,2008,0.2625,4.45,0.5000,0.985
108,2009,0.2636,5.06,0.4012,0.984
109,2010,0.2482,4.3,0.4259,0.982
110,2011,0.2505,4.23,0.4938,0.982
111,2012,0.2507,4.78,0.4198,0.984
112,2013,0.2545,3.82,0.5679,0.983
113,2014,0.2531,3.56,0.5247,0.981
114,2015,0.2565,3.67,0.5031,0.987
115,2016,0.2617,3.84,0.5839,0.985
